City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,ceeldheer,3.8488,47.1806,26.55,81,62,8.32,SO,1706545299
311,lijiang,26.8688,100.2207,0.56,68,13,2.1,CN,1706545299
312,sandy point town,17.35,-62.8333,28.31,76,0,5.93,KN,1706545299
313,nouadhibou,20.931,-17.0347,29.99,10,0,2.57,MR,1706545299
314,alsunga,56.9819,21.5594,3.8,71,100,6.44,LV,1706545300
315,san borja,-14.8167,-66.85,32.66,55,53,2.02,BO,1706545024
316,arifwala,30.294,73.0735,15.02,30,8,2.12,PK,1706545300
317,peniche,39.3558,-9.3811,19.6,83,85,5.36,PT,1706545207
318,selfoss,63.9331,-20.9971,1.69,95,100,10.98,IS,1706545300
319,indre arna,60.4247,5.4764,4.25,85,100,1.79,NO,1706545301
320,san patricio,28.017,-97.5169,16.92,55,12,1.18,US,1706545301
321,ebon,4.582,168.6964,26.63,85,100,5.46,MH,1706545301
322,keetmanshoop,-26.5833,18.1333,30.51,35,100,9.26,NA,1706545301
323,carutapera,-1.195,-46.02,30.7,61,76,4.1,BR,1706545301
324,banda aceh,5.5577,95.3222,25.96,85,41,3.03,ID,1706545301
325,carnarvon,-24.8667,113.6333,23.05,82,0,9.52,AU,1706545302
326,nepean,45.3449,-75.7631,-0.69,79,100,4.92,CA,1706545302
327,eleskirt,39.8033,42.6736,-8.19,95,100,1.27,TR,1706545302
328,bentiu,9.2333,29.8333,30.23,14,100,2.25,SS,1706545302
329,nova vicosa,-17.8919,-39.3719,28.32,73,100,3.64,BR,1706545302
330,boguchany,58.3814,97.4531,-27.86,99,29,1.79,RU,1706545302
331,galle,6.0367,80.217,25.89,84,90,1.01,LK,1706545303
332,saint-philippe,-21.3585,55.7679,25.77,87,60,4.85,RE,1706545303
333,pulsano,40.3821,17.3564,10.74,58,20,3.09,IT,1706545303
334,mont-laurier,46.5501,-75.4993,-5.21,84,32,2.62,CA,1706545303
335,tommot,58.9564,126.2925,-31.15,98,100,0.81,RU,1706545303
336,magadan,59.5667,150.8,-21.93,77,19,2.8,RU,1706545303
337,prince rupert,54.3161,-130.3201,10.83,81,100,23.66,CA,1706545296
338,hassi messaoud,31.6804,6.0729,18.92,45,0,2.06,DZ,1706545304
339,lumphat,13.4878,106.9816,23.01,65,96,3.65,KH,1706545304
340,puerto cabezas,14.0351,-83.3888,29.98,74,75,5.14,NI,1706545304
341,nadym,65.5333,72.5167,-20.71,95,46,4.55,RU,1706545304
342,la ronge,55.1001,-105.2842,-1.86,80,20,2.06,CA,1706545304
343,hastings,50.8552,0.5729,10.63,56,93,4.45,GB,1706545305
344,colares,38.7992,-9.4469,19.07,86,20,5.81,PT,1706545305
345,karystos,38.0133,24.4161,9.44,65,96,8.67,GR,1706545305
346,arraial do cabo,-22.9661,-42.0278,27.92,74,40,4.63,BR,1706545135
347,arkhangel'sk,64.5401,40.5433,1.06,100,100,4.0,RU,1706545305
348,mogocha,53.7333,119.7667,-28.4,97,100,1.41,RU,1706545305
349,yarmouth,41.7057,-70.2286,2.79,91,100,13.41,US,1706545305
350,east end,34.5507,-92.341,10.64,75,0,1.32,US,1706545306
351,bhag,29.0415,67.8239,18.73,24,100,1.0,PK,1706545306
352,zhangatas,43.5667,69.75,-0.83,94,100,10.93,KZ,1706545306
353,qandala,11.472,49.8728,25.71,79,70,1.33,SO,1706545040
354,saudarkrokur,65.7461,-19.6394,-0.24,83,100,5.19,IS,1706545306
355,egersund,58.4513,5.9997,5.21,87,97,2.89,NO,1706545306
356,ta`u,-14.2336,-169.5144,28.12,77,100,5.0,AS,1706545306
357,lobito,-12.3481,13.5456,28.07,72,14,2.94,AO,1706545306
358,mary,37.0,62.5,6.72,67,100,5.13,TM,1706545307
359,renqiu,38.6989,116.0936,-1.77,91,12,2.91,CN,1706545307
360,airuk,7.2772,168.8203,26.88,79,100,7.41,MH,1706545307
361,carauari,-4.8828,-66.8958,32.89,54,48,1.49,BR,1706545307
